title,price,OS,SSD,Display,In_build_sw,warranty,id_laptop,RAM_GB,RAM_Type,Proc_Manufacturer,Proc_Series,Proc_Generation,Proc_Cores
HP 15s Intel Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s-fr2511TU Thin and Light Laptop,40950,64 bit Windows 11 Operating System,512,39.62 cm (15.6 Inch) Display,"Microsoft Office 2021 Home & Student, HP Documentation, HP BIOS recovery, HP Smart",1 Year Onsite Warranty,21,8,DDR4,Intel,Core i3,11.0,
ASUS VivoBook K15 OLED (2022) Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) K513EA-L302WS Thin ...,40990,64 bit Windows 11 Operating System,256,39.62 cm (15.6 inch) Display,Office Home and Student 2021,1 Year Onsite Warranty,22,8,DDR4,Intel,Core i3,11.0,
ASUS Vivobook 15 Touch Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515EA-EZ311WS Thin and Li...,39990,64 bit Windows 11 Operating System,512,39.62 cm (15.6 Inch) Touchscreen Display,,1 Year Onsite Warranty,24,8,DDR4,Intel,Core i3,11.0,
ASUS VivoBook 14 (2022) Ryzen 5 Quad Core AMD R5-3500U - (8 GB/512 GB SSD/Windows 11 Home) M415DA-EB71...,38990,32 bit Windows 11 Operating System,512,35.56 cm (14 inch) Display,Office Home and Student 2021,1 Year Onsite Warranty,25,8,DDR4,AMD,Ryzen 5,,4.0
APPLE 2020 Macbook Air M1 - (8 GB/256 GB SSD/Mac OS Big Sur) MGN63HN/A,86990,Mac OS Operating System,256,33.78 cm (13.3 inch) Display,"Built-in Apps: iMovie, Siri, GarageBand, Pages, Numbers, Photos, Keynote, Safari, Mail, FaceTime, Messages, Maps, Stocks, Home, Voice Memos, Notes, Calendar, Contacts, Reminders, Photo Booth, Preview, Books, App Store, Time Machine, TV, Music, Podcasts, Find My, QuickTime Player",1 Year Limited Warra­nty,26,8,DDR4,Apple,M1,,
HP Athlon Dual Core 3050U - (8 GB/256 GB SSD/Windows 11 Home) 14s-fq0568AU Thin and Light Laptop,25990,64 bit Windows 11 Operating System,256,35.56 cm (14 inch) Display,,1 Year Onsite Warranty,28,8,DDR4,AMD,Athlon,,2.0
HP Intel Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s- fr4000TU Thin and Light Laptop,52990,64 bit Windows 11 Operating System,512,39.62 cm (15.6 Inch) Display,,1 Year Onsite Warranty,29,8,DDR4,Intel,Core i5,11.0,
acer Extensa Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) EX 215-54-583M Thin and Light Laptop,40990,64 bit Windows 11 Operating System,512,39.62 cm (15.6 Inch) Display,,1 Year International Travelers Warranty (ITW),31,8,DDR4,Intel,Core i5,11.0,
ASUS Vivobook 15 Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515EA-BQ522WS Thin and Light La...,46990,64 bit Windows 11 Operating System,512,39.62 cm (15.6 Inch) Display,,1 Year Onsite Warranty,32,8,DDR4,Intel,Core i5,11.0,
ASUS TUF Gaming F17 (2022) with 90Whr Battery Core i7 12th Gen - (16 GB/1 TB SSD/Windows 11 Home/6 GB ...,109990,64 bit Windows 11 Operating System,1024,43.94 cm (17.3 inch) Display,,1 Year Onsite Warranty,33,16,DDR5,Intel,Core i7,12.0,
Lenovo IdeaPad Gaming Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce...,52990,64 bit Windows 11 Operating System,512,39.62 cm (15.6 Inch) Display,,1 Year Onsite Warranty + 1 Year Premium Care + 1 Year Accidentaly Damage Protection,34,8,DDR4,Intel,Core i5,11.0,
ASUS Zenbook 14 OLED (2022) Intel EVO Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) UX3402ZA-K...,85990,Windows 11 Operating System,512,35.56 cm (14 inch) Display,Microsoft Office Home & Student 2021,1 Year Onsite Warranty,35,16,DDR5,Intel,Core i5,12.0,
Lenovo Intel Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 81X800J3IN | 81X800LGIN Thin and Lig...,36900,64 bit Windows 11 Operating System,512,39.62 cm (15.6 Inch) Display,Office Home and Student 2021,2 Year Onsite�Warranty,36,8,DDR4,Intel,Core i3,11.0,
ASUS ZenBook Duo 14 (2021) Touch Panel Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home/2 GB Graph...,74990,64 bit Windows 11 Operating System,512,35.56 cm (14 inch) Touchscreen Display,Office Home and Student 2021,1 Year Onsite Warranty,37,16,DDR4,Intel,Core i5,11.0,
ASUS ROG Strix G15 Ryzen 7 Octa Core AMD R7-4800H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVI...,77990,64 bit Windows 11 Operating System,512,39.62 cm (15.6 Inch) Display,,1 Year Onsite Warranty,38,8,DDR4,AMD,Ryzen 7,,8.0
